FechaSalida;FechaEntrada;Motivo;Ocupacion;Estadia;Gente;GastoTotal;GastoAlojamiento;GastoAlimentacion;GastoTransporteInternac;GatoTransporteLocal;GastoCultural;GastoTours;GastoCompras;GastoResto
1/1/2024;10/1/2024;Ocio, Recreo, Vacaciones;Profesional dependiente;9;4;2800;1075.78;818.51;0;265.48;640.23;0;0;0
1/1/2024;8/1/2024;Ocio, Recreo, Vacaciones;Patron, Com, Ind, Prod Agrop;7;4;887.83;191.2;177.73;0;192.25;0;0;117.29;209.35
1/1/2024;7/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;6;3;777.76;163.88;152.34;67.39;164.79;0;0;117.29;179.44
1/1/2024;7/1/2024;Compras;Trabajador dependiente;6;2;777.76;163.88;152.34;67.39;164.79;0;0;117.29;179.44
1/1/2024;8/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;7;2;1600;545.13;506.74;600;548.13;0;0;0;0
1/1/2024;8/1/2024;Ocio, Recreo, Vacaciones;Profesional dependiente;7;2;1760.15;500;393.98;239.85;426.17;180;0;260;0
1/1/2024;5/1/2024;Visita familiares / amigos;Trabajador dependiente;4;3;459.9;0;153.3;0;127.75;51.1;0;110.21;17.54
1/1/2024;8/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;7;4;1500;450;307.05;0;99.59;308.79;0;261.69;72.88
2/1/2024;5/1/2024;Ocio, Recreo, Vacaciones;Trabajador Independiente;3;3;500;152.72;116.2;0;0;0;0;231.08;0
2/1/2024;5/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;3;3;1000;300;72.77;0;78.72;62.79;0;400;85.72
2/1/2024;7/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;5;2;667.68;136.57;126.95;0;137.32;0;0;117.29;149.54
2/1/2024;7/1/2024;Ocio, Recreo, Vacaciones;Trabajador Independiente;5;3;1300;314.41;200;300;20;151.3;0;270.03;344.26
2/1/2024;12/1/2024;Visita familiares / amigos;Jubilado, Pensionista;10;1;320;0;218.89;119.92;0;0;0;101.11;0
2/1/2024;9/1/2024;Ocio, Recreo, Vacaciones;Trabajador Independiente;7;2;4000;1100;1445.9;800;0;1454.1;0;0;0
2/1/2024;9/1/2024;Ocio, Recreo, Vacaciones;Profesional dependiente;7;2;1379.62;921.72;207.49;1210;68.28;182.14;0;0;0
2/1/2024;9/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;7;3;2261.41;921.72;311.23;1210;68.28;0;500;460.18;0
2/1/2024;9/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;7;5;2500;2500;0;0;0;0;0;0;0
2/1/2024;10/1/2024;Ocio, Recreo, Vacaciones;Profesional dependiente;8;3;1283.58;400;300;0;70;100;0;313.73;99.86
2/1/2024;12/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;10;4;2800;1125.57;856.41;0;0;0;307.1;510.92;0
2/1/2024;10/1/2024;Ocio, Recreo, Vacaciones;Trabajador Independiente;8;4;2000;500;300;0;177.93;482.74;0;409.11;130.22
2/1/2024;8/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;6;4;3200;800;800;0;560;320;0;581.24;138.76
2/1/2024;8/1/2024;Ocio, Recreo, Vacaciones;Trabajador Independiente;6;2;1300;400;286.78;0;60;200;0;285.15;68.07
2/1/2024;8/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;6;3;1464.58;661;571.09;1014.2;232.49;0;0;0;0
2/1/2024;5/1/2024;Visita familiares / amigos;Trabajador dependiente;3;4;459.9;0;178.85;0;127.75;76.65;0;68.48;8.17
2/1/2024;9/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;7;2;787.86;447.43;340.43;412.14;0;0;0;0;0
2/1/2024;7/1/2024;Ocio, Recreo, Vacaciones;Profesional independiente;5;2;1732.61;354.4;329.44;67.39;356.35;0;0;304.37;388.04
3/1/2024;7/1/2024;Ocio, Recreo, Vacaciones;Trabajador Independiente;4;2;800;121.56;150;220;122.23;73.12;0;200;133.1
3/1/2024;18/1/2024;Visita familiares / amigos;Patron, Com, Ind, Prod Agrop;15;3;2986.58;0;1142.58;543.86;1235.92;197.16;59.04;351.88;0
3/1/2024;10/1/2024;Ocio, Recreo, Vacaciones;Patron, Com, Ind, Prod Agrop;7;3;887.83;191.2;177.73;0;192.25;0;0;117.29;209.35
3/1/2024;8/1/2024;Compras;Profesional dependiente;5;3;667.68;136.57;126.95;0;137.32;0;0;117.29;149.54
3/1/2024;5/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;2;3;594.79;180;100;0;164.79;50;0;100;0
3/1/2024;8/1/2024;Ocio, Recreo, Vacaciones;Patron, Com, Ind, Prod Agrop;5;3;4500;920.45;855.64;0;925.53;0;0;790.53;1007.84
3/1/2024;8/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;5;3;2000;400;440.84;250;476.86;200;75;407.3;0
3/1/2024;6/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;3;2;300;68.7;63.87;239.85;69.08;0;0;98.34;0
3/1/2024;8/1/2024;Trabajo / Profesion;Patron, Com, Ind, Prod Agrop;5;2;1018.4;380;200;0;50;246.8;0;100;41.61
3/1/2024;12/1/2024;Ocio, Recreo, Vacaciones;Profesional dependiente;9;4;1500;500;315.75;0;100;300;0;209.3;74.95
3/1/2024;9/1/2024;Ocio, Recreo, Vacaciones;Patron, Com, Ind, Prod Agrop;6;5;1969.66;480;1489.66;1030.34;0;0;0;0;0
3/1/2024;8/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;5;8;1000;350;138.08;0;120;194.4;0;164.75;32.77
3/1/2024;2/2/2024;Ocio, Recreo, Vacaciones;Jubilado, Pensionista;30;1;2000;0;1395.17;500;0;327.38;0;277.45;0
3/1/2024;2/2/2024;Trabajo / Profesion;Profesional dependiente;30;1;200;95.81;90.29;0;0;0;0;13.9;0
4/1/2024;15/1/2024;Ocio, Recreo, Vacaciones;Jubilado, Pensionista;11;2;1400;550;264.09;0;80;300;0;143.23;62.68
4/1/2024;12/1/2024;Visita familiares / amigos;Trabajador dependiente;8;1;250;0;158.48;119.92;0;0;0;91.52;0
4/1/2024;8/1/2024;Visita familiares / amigos;Trabajador dependiente;4;2;448.34;0;101.56;98.58;109.86;0;0;117.29;119.63
4/1/2024;8/1/2024;Visita familiares / amigos;Patron, Com, Ind, Prod Agrop;4;2;300;0;92.69;0;100.26;0;0;107.05;0
4/1/2024;10/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;6;7;1149.75;408.8;383.25;0;51.1;89.42;0;85.84;131.33
4/1/2024;21/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;17;2;800;204.42;190.03;239.85;205.55;0;0;200;0
4/1/2024;15/1/2024;Ocio, Recreo, Vacaciones;Profesional independiente;11;3;2315.76;800;578.46;0;100;300;0;400;137.3
4/1/2024;15/1/2024;Ocio, Recreo, Vacaciones;Otros;11;4;1500;200;500;0;146.89;300;0;245.62;107.5
4/1/2024;8/1/2024;Visita familiares / amigos;Trabajador Independiente;4;2;511;0;178.85;0;76.65;0;0;220.42;35.08
5/1/2024;10/1/2024;Ocio, Recreo, Vacaciones;Jubilado, Pensionista;5;4;1022;408.8;306.6;0;51.1;89.42;0;73;93.07
5/1/2024;10/1/2024;Trabajo / Profesion;Trabajador Independiente;5;2;700;321.87;200;0;40;0;0;80;58.13
